our_code,our_label,our_status,our_ziel,s_sheet,s_row,s_label,s_status_value,s_ziel_value,s_status_formula,s_ziel_formula,d_status_ref,d_ziel_ref,label_overlap,status_match,status_scale,ziel_match,ziel_scale,confidence
4.2,Stroh aus Getreideanbau,6128961.64905,5631325.0,2. Erneuerbare,67,Stroh aus Getreideanbau,,,,,,,1.0,False,1.0,False,1.0,LABEL_ONLY
4.2.1,Getreide-Anbaufläche,6076200.0,5631255.0,2. Erneuerbare,68,Getreide-Anbaufläche,6076200,5631254.918074889,=AP68,"=IF(P68="""",AQ68,P68)",,,1.0,True,1.0,True,1.0,HIGH
4.2.1.1,Energet. genutzter Teil am Strohanfall,0.2,33.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.001,True,0.0001,HIGH
4.2.1.1.1,Energieertrag,20.1,23.8339,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
4.2.1.1.2,Strohbrennstoff-Aufkommen,244.26324000000002,44290.87361968499,2. Erneuerbare,71,Strohbrennstoff-Aufkommen,243.92361111111106,44289.819930659,=L68*L69%*L70/1000,=M68*M69%*M70/1000,,,1.0,True,1.0,True,1.0,HIGH
4.2.1.1.2.1,davon für Gebäudewärme,0.0,0.0,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.4,True,1.0,True,1.0,HIGH
4.2.1.1.2.2,davon für Prozesswärme,0.0,100.0,2. Erneuerbare,63,*,21.33447833119341,100,=AT63,=100-M62-M64-M65,,,0.0,True,10000.0,True,1.0,HIGH
4.2.1.1.2.3,davon für Verstromung,100.0,0.0,2. Erneuerbare,74,*,100,0,=AT74,"=IF(P74="""",AU74,P74)",,,0.0,True,1.0,True,1.0,HIGH
4.2.1.1.2.4,davon für Wärmenetze GW,0.0,0.0,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.6,True,1.0,True,1.0,HIGH
4.3,Brennstoffaufkommen (fest) NAWARO gesamt,120681.32543047999,115592.362227685,2. Erneuerbare,77,Brennstoffaufk.(fest) NAWARO gesamt,120692.89677115603,115591.43019165192,=L54+L59+L71,=M54+M59+M71,,,0.75,True,1.0,True,1.0,HIGH
4.3.1,davon Einsatz für Gebäudewärme,88453.6052475208,0.0,2. Erneuerbare,79,davon Einsatz für Gebäudewärme,88254.46556022266,0,=L61*L62%+L71*L72%,=M61*M62%+M71*M72%,,,1.0,True,1.0,True,1.0,HIGH
4.3.2,davon Einsatz für Prozesswärme,25653.094246572244,115592.362227685,2. Erneuerbare,81,davon Einsatz für Prozesswärme,25697.16007897475,115591.43019165192,=L61*L63%+L71*L73%,=M61*M63%+M71*M73%,,,1.0,True,1.0,True,1.0,HIGH
4.3.3,davon Einsatz für Verstromung,6747.86459828592,0.0,2. Erneuerbare,83,davon Einsatz für Verstromung,6741.271131958609,0,=L61*L64%+L71*L74%,=M61*M64%+M71*M74%,,,1.0,True,1.0,True,1.0,HIGH
4.3.3.1,Nutzungsgrad Kraftwerk,25.0,35.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
4.3.3.2,Bruttostromerzeugung,1686.96614957148,0.0,2. Erneuerbare,85,Bruttostromerzeugung,1685.3177829896522,0,=L83*L84%,=M83*M84%,,,1.0,True,1.0,True,1.0,HIGH
4.3.3.3,Nutzungsgrad KWK-Abwärme effektiv,45.0,45.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
4.3.3.4,Wärmenetze GW (Endenergie),3036.539069228664,0.0,2. Erneuerbare,87,Wärmenetze GW (Endenergie),3033.572009381374,0,=L83*L86%,=M83*M86%,,,1.0,True,1.0,True,1.0,HIGH
4.3.4,davon Einsatz für Heizwerke/Wärmenetze,0.0,0.0,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.8,True,1.0,True,1.0,HIGH
4.3.4.1,Nutzungsgrad Heizwerk/Wärmenetz,75.0,75.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
4.3.4.2,Wärmenetze GW (Endenergie),0.0,0.0,2. Erneuerbare,91,Wärmenetze GW (Endenergie),0,0,=L89*L90%,=M89*M90%,,,1.0,True,1.0,True,1.0,HIGH
4.4,Biogener Anteil der Abfälle (fest),14438.0,14438.0,2. Erneuerbare,93,Biogener Anteil der Abfälle (fest),14438,14438,=L94+L95,=M94+M95,,,1.0,True,1.0,True,1.0,HIGH
4.4.1,Bruttostromerzeugung,4525.0,4525.0,2. Erneuerbare,94,Bruttostromerzeugung,4525,4525,=AT94,"=IF(P94="""",AU94,P94)",,,1.0,True,1.0,True,1.0,HIGH
4.4.2,Wärmenetze GW (Endenergie),9913.0,9913.0,2. Erneuerbare,95,Wärmenetze GW (Endenergie),9913,9913,=AT95,"=IF(P95="""",AU95,P95)",,,1.0,True,1.0,True,1.0,HIGH
5,,,,,,,,,,,,,0.0,False,1.0,False,1.0,NONE
5.1,Anbaufläche Energiepflanzen für Biogas,1410000.0,1307000.0,2. Erneuerbare,98,Anbaufläche Energiepflanzen für Biogas,1410000,1307000,=AP98,"=IF(P98="""",AQ98,P98)",,,1.0,True,1.0,True,1.0,HIGH
5.1.1,Biogas – Methanertrag,50.9,40.7528,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
5.1.2,Biogas aus Energiepflanzen-Anbau,71769.0,53263.9096,2. Erneuerbare,100,+,71826.66666666667,53263.80330969268,=L98*L99/1000,=M98*M99/1000,,,0.0,True,1.0,True,1.0,HIGH
5.2,Biogas aus Abfall-/Reststoffverwertung,15998.0,44571.0,2. Erneuerbare,102,+,15997.66081871345,44571.22807017545,=AT102,"=IF(P102="""",AU102,P102)",,,0.0,True,1.0,True,1.0,HIGH
5.3,Biogas aus Kläranlagen und Deponien,4558.0,12762.0,2. Erneuerbare,103,+,4557.894736842105,12762.105263157895,=AT103,"=IF(P103="""",AU103,P103)",,,0.0,True,1.0,True,1.0,HIGH
5.4,Biogasaufkommen insgesamt,92325.0,110596.9096,2. Erneuerbare,104,Biogasaufkommen insgesamt,92382.22222222223,110597.13664302602,=L100+L102+L103,=M100+M102+M103,,,1.0,True,1.0,True,1.0,HIGH
5.4.1,davon Einsatz für Prozesswärme,0.0,15.510515772029533,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.6,True,1.0,True,0.0001,HIGH
5.4.1.1,Biogas für Prozesswärme,0.0,17154.151106885245,2. Erneuerbare,106,Biogas für Prozesswärme,0,17161.289945777084,=L$104*L105%,=M$104*M105%,,,1.0,True,1.0,True,1.0,HIGH
5.4.2,davon für Verstromung,96.1,0.0,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.4,True,0.0001,True,1.0,HIGH
5.4.2.1,Nutzungsgrad Kraftwerk,37.5,45.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
5.4.2.2,Bruttostromerzeugung,33271.621875,0.0,2. Erneuerbare,110,Bruttostromerzeugung,33290.55039524163,0,=L104*L108%*L109%,=M104*M108%*M109%,,,1.0,True,1.0,True,1.0,HIGH
5.4.2.3,Nutzungsgrad KWK-Abwärme effektiv,21.9,25.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
5.4.2.4,Gebäudewärme (Endenergie),19430.627174999998,0.0,2. Erneuerbare,112,Gebäudewärme (Endenergie),19431.7392172003,0,=L104*L108%*L111%,=M104*M108%*M111%,,,1.0,True,1.0,True,1.0,HIGH
5.4.3,davon Biomethan für mobile Anwendungen,1.2,84.5,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.4,True,0.001,True,0.0001,HIGH
5.4.3.1,Nutzungsgrad Kraftstoffbereitstellung,98.0,98.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
5.4.3.2,Biokraftstoff (gasförmig),1085.7420000000002,91585.30083975999,2. Erneuerbare,116,Biokraftstoff (gasförmig),1131.580013848367,91567.12976330396,=L$104*L114%*L115%,=M$104*M114%*M115%,,,1.0,False,1.0,True,1.0,MED
5.4.4,davon Flüssigkraftstoff für mobile Anwendungen,2.7,0.0,2. Erneuerbare,89,davon Einsatz für Heiwerke/Wärmenetze,0,0,=L61*L65%+L71*L75%,=M61*M65%+M71*M75%,,,0.4,True,0.001,True,1.0,HIGH
5.4.4.1,Nutzungsgrad Kraftstofferzeugung,45.0,45.0,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
5.4.4.2,Biokraftstoff (flüssig),1121.74875,0.0,2. Erneuerbare,120,Biokraftstoff (flüssig),1103.7364581266124,0,=L$104*L118%*L119%,=M$104*M118%*M119%,,,1.0,False,1.0,True,1.0,MED
6,Biogene Brennstoffe (flüssig),,,2. Erneuerbare,48,Biogene Brennstoffe (fest),,,,,,,0.67,False,1.0,False,1.0,LABEL_ONLY
6.1,Biodiesel (inkl. Pflanzenöl),738429.602,498520.30083976,2. Erneuerbare,123,Biodiesel (inkl. Pflanzenöl),,,,,,,1.0,False,1.0,False,1.0,LABEL_ONLY
6.1.1,Anbaufläche Ölpflanzen für Biodiesel,665000.0,303000.0,2. Erneuerbare,124,Anbaufläche Ölpflanzen für Biodiesel,665000,303000,=AP124,"=IF(P124="""",AQ124,P124)",,,1.0,True,1.0,True,1.0,HIGH
6.1.1.1,Biodiesel – Energieertrag,17.8,14.2,2. Erneuerbare,65,*,0,0,=AT65,"=IF(P65="""",AU65,P65)",,,0.0,True,0.0001,True,0.0001,HIGH
6.1.1.2,Biodiesel aus eigenem Anbau,11837.0,4302.6,2. Erneuerbare,126,+,11803.75,4302.6,=L124*L125/1000,=M124*M125/1000,,,0.0,True,1.0,True,1.0,HIGH
6.1.2,Biodiesel aus Import (+) / Export (-),13403.0,0.0,2. Erneuerbare,128,+,13402.583333333332,0,=AT128,"=IF(P128="""",AU128,P128)",,,0.0,True,1.0,True,1.0,HIGH
6.1.3,Biodiesel Gesamtaufkommen,25240.0,4302.6,2. Erneuerbare,129,Biodiesel Gesamtaufkommen,25206.333333333332,4302.6,=L126+L128,=M126+M128,,,1.0,True,1.0,True,1.0,HIGH
6.1.3.1,davon Einsatz für mobile Anwendungen,99.1,100.0,2. Erneuerbare,73,*,0,100,=AT73,=100-M72-M74-M75,,,0.0,True,0.0001,True,1.0,HIGH
