our_code,our_label,match_score,excel_row,excel_label,status,notes
4.1.1,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.1.1,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.1.1.1,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.1.1.1.1,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.1.1.1.2,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.2,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.2.1,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.2.1.1,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.2.1.2,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.3,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.3.1,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.3.2,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.3.3,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.1.3.4,Energieholz / Solar,0.50,243,Energieholz (Forst),PARTIAL,overlap: energieholz
4.2,Stroh / Solar,0.33,85,Getreide-Anbaufl. (Stroh),PARTIAL,overlap: stroh
4.2.1,Stroh / Solar,0.33,85,Getreide-Anbaufl. (Stroh),PARTIAL,overlap: stroh
4.2.1.1,Stroh / Solar,0.33,85,Getreide-Anbaufl. (Stroh),PARTIAL,overlap: stroh
4.2.1.1.1,Stroh / Solar,0.33,85,Getreide-Anbaufl. (Stroh),PARTIAL,overlap: stroh
4.2.1.1.2,Stroh / Solar,0.33,85,Getreide-Anbaufl. (Stroh),PARTIAL,overlap: stroh
4.2.1.1.2.1,Stroh / Solar,0.33,85,Getreide-Anbaufl. (Stroh),PARTIAL,overlap: stroh
4.2.1.1.2.2,Stroh / Solar,0.33,85,Getreide-Anbaufl. (Stroh),PARTIAL,overlap: stroh
4.2.1.1.2.3,Stroh / Solar,0.33,85,Getreide-Anbaufl. (Stroh),PARTIAL,overlap: stroh
4.2.1.1.2.4,Stroh / Solar,0.33,85,Getreide-Anbaufl. (Stroh),PARTIAL,overlap: stroh
4.3,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.1,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.2,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.3,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.3.1,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.3.2,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.3.3,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.3.4,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.4,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.4.1,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.3.4.2,NAWARO gesamt / Solar,0.33,64,Bodenfläche gesamt,PARTIAL,overlap: gesamt
4.4,Biogener Anteil Abfälle / Solar,0.25,103,Anteil an deutscher Waldfläche,WEAK,overlap: anteil
4.4.1,Biogener Anteil Abfälle / Solar,0.25,103,Anteil an deutscher Waldfläche,WEAK,overlap: anteil
4.4.2,Biogener Anteil Abfälle / Solar,0.25,103,Anteil an deutscher Waldfläche,WEAK,overlap: anteil
5, / Biogas,1.00,363,Biogas,MATCHED,overlap: biogas
5.1,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.1.1,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.1.2,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.2,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.3,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.1,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.1.1,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.2,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.2.1,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.2.2,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.2.3,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.2.4,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.3,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.3.1,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.3.2,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.4,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.4.1,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
5.4.4.2,Main / Biogas,0.50,363,Biogas,PARTIAL,overlap: biogas
6,Main / Biogene Brennstoffe (flüssig),0.50,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1,Biodiesel / Biogene Brennstoffe (flüssig),0.50,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.1,Biodiesel Anbau / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.1.1,Biodiesel Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.1.2,Biodiesel Details / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.2,Biodiesel Anbau / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
6.1.3,Biodiesel Anbau / Biogene Brennstoffe (flüssig),0.40,335,Verstromung biogene Brennstoffe (fest),PARTIAL,"overlap: biogene,brennstoffe"
