our_code,our_label,status_ours,ziel_ours,excel_row,excel_label,status_col,status_excel,ziel_col,ziel_excel,confidence,notes
9.4.3.2,Stromspeicherung / Stromwandlung,14119.935165811794,101903.46101209613,,,,,,,LOW,no value+label match
9.4.3.3,Stromwandlung / Stromwandlung,242606.15875803898,1005742.8543367749,,,,,,,LOW,no value+label match
10,Erneuerbare Quellen / Endenergie,,,,,,,,,LOW,no value+label match
10.1,Erneuerbare Quellen / Endenergie,391499.46025213203,1863869.0257823425,,,,,,,LOW,no value+label match
10.2,Erneuerbare Quellen / Endenergie,242606.15875803898,1005742.8543367749,,,,,,,LOW,no value+label match
10.2.1,Erneuerbare Quellen / Endenergie,461869.2220968377,1005742.8543367754,,,,,,,LOW,no value+label match
10.2.2,Erneuerbare Quellen / Endenergie,52.52702435044979,99.99999999999996,,,,,,,LOW,no value+label match
10.3,Erneuerbare Quellen / Endenergie,172995.4884722678,312753.29999999993,,,,,,,LOW,no value+label match
10.3.1,Erneuerbare Quellen / Endenergie,172995.4884722678,312753.29999999993,,,,,,,LOW,no value+label match
10.4,Erneuerbare Quellen / Endenergie,105664.95064129012,672112.3905601414,,,,,,,LOW,no value+label match
10.4.1,Erneuerbare Quellen / Endenergie,88453.6052475208,0.0,,,,,,,LOW,no value+label match
10.4.1.1,Erneuerbare Quellen / Endenergie,0.0,0.0,662,- STATUS-Ansatz: Die Einfuhr von Strom aus erneuerbaren Quellen von außerhalb De,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
10.4.1.2,Erneuerbare Quellen / Endenergie,0.0,0.0,662,- STATUS-Ansatz: Die Einfuhr von Strom aus erneuerbaren Quellen von außerhalb De,W,0.0,W,0.0,MED-VALUE-ONLY,both-match; label_overlap=0.04
10.4.1.3,Erneuerbare Quellen / Endenergie,88453.6052475208,0.0,,,,,,,LOW,no value+label match
10.4.2,Erneuerbare Quellen / Endenergie,0.0,534161.9572712373,,,,,,,LOW,no value+label match
10.4.3,Erneuerbare Quellen / Endenergie,17211.345393769323,137950.43328890414,,,,,,,LOW,no value+label match
