our_code,our_label,status_ours,ziel_ours,status_excel_row,status_col,status_scale,status_excel_label,ziel_excel_row,ziel_col,ziel_scale,ziel_excel_label,confidence
10.7.2,Erneuerbare Quellen / Endenergie,1085.7420000000002,108739.45194664523,255,AN,0.001,Auf Hinweis aus dem Nds. Landwirtschaftsministeriu,,,,,MED
10.7.3,Erneuerbare Quellen / Endenergie,33700.86,99632.4,252,W,0.001,- ZIEL-Ansatz: Das Potenzial an Energieholz direkt,,,,,MED
10.7.4,Erneuerbare Quellen / Endenergie,114106.69949409305,115592.362227685,,,,,,,,,LOW
10.8,Erneuerbare Quellen / Endenergie,0.0,76544.15,,,,,,,,,LOW
10.9,Erneuerbare Quellen / Endenergie,,,,,,,,,,,ZERO
10.9.1,Erneuerbare Quellen / Endenergie,261372.34543048003,244929.87182768498,,,,,,,,,LOW
10.9.1.1,Erneuerbare Quellen / Endenergie,92325.0,110596.9096,,,,,,,,,LOW
10.9.1.2,Erneuerbare Quellen / Endenergie,33928.020000000004,4302.6,252,W,0.001,- ZIEL-Ansatz: Das Potenzial an Energieholz direkt,,,,,MED
10.9.1.3,Erneuerbare Quellen / Endenergie,135119.32543048,130030.362227685,,,,,,,,,LOW
7.1.4, / EE,73937.11493026103,10760.133796534526,,,,,,,,,LOW
11, / fossil,70.0,70.0,,,,,,,,,LOW
11.1, / fossil,80.0,90.0,,,,,,,,,LOW
11.2, / fossil,80.0,100.0,,,,,,,,,LOW
11.3, / fossil,160.0,190.0,,,,,,,,,LOW
11.4, / fossil,160.0,,,,,,,,,,LOW
12, / Renewable,160.0,,,,,,,,,,LOW
