table,key,category,formula_type,ws_row_type,is_fixed,expression,description
Formula,7.1_target,renewable,ziel,all,False,V_2_9_0_ziel,Ziel formula for 7.1: Wärmepumpen-Antriebsstromaufnahme (Heat pump electricity consumption from VerbrauchData 2.9.2 ziel)
Formula,7_ziel_target,renewable,ziel,all,True,,Ziel formula for 7: Umgebungswärme (Wärmepumpe)
Formula,8,renewable,status,all,True,,Tiefengeothermie
Formula,8.1,renewable,status,all,True,,Netzanschlussleistung (elektrisch)
Formula,8.1.1,renewable,status,all,True,,Stromerzeugung – Vollbetriebsstunden
Formula,8.1.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 8.1.1: Stromerzeugung – Vollbetriebsstunden
Formula,8.1.2,renewable,status,all,False,Renewable_8_1 * Renewable_8_1_1 / 1000,"Bruttostromerzeugung
Gross electricity from deep geothermal"
Formula,8.1.2_ziel_target,renewable,ziel,all,False,Renewable_8_1 * Renewable_8_1_1 / 1000,"Ziel formula for 8.1.2: Bruttostromerzeugung
Gross electricity from deep geothermal"
Formula,8.1_ziel_target,renewable,ziel,all,True,,Ziel formula for 8.1: Netzanschlussleistung (elektrisch)
Formula,8.2,renewable,status,all,True,,Gebäudewärmebereitstellung (Endenergie)
Formula,8.2_ziel_target,renewable,ziel,all,True,,Ziel formula for 8.2: Gebäudewärmebereitstellung (Endenergie)
Formula,8_ziel_target,renewable,ziel,all,True,,Ziel formula for 8: Tiefengeothermie
Formula,9,renewable,status,all,True,,Stromwandlung / Stromspeicherung
Formula,9.1,renewable,status,all,False,Renewable_9_1_1 + Renewable_9_1_2 + Renewable_9_1_3 + Renewable_9_1_4,"Bruttostromerzeugung aus Erneuerbaren Energien gesamt (inkl. Abregelung)
Total gross renewable electricity generation"
Formula,9.1.1,renewable,status,all,False,Renewable_2_2_1_2_3 + Renewable_2_1_1_2_2,"aus Windenergie
Total wind electricity (offshore + onshore)"
Formula,9.1.1_ziel_target,renewable,ziel,all,False,Renewable_2_2_1_2_3 + Renewable_2_1_1_2_2,"Ziel formula for 9.1.1: aus Windenergie
Total wind electricity (offshore + onshore)"
