sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
4. Verbrauch,95,G,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Haushalte,8.716463774967497,8.716463774967497,%,1.823,4. Verbrauch!L95,4. Verbrauch!M95
4. Verbrauch,96,,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Haushalte,48410.76646330204,48410.76646330204,GWh/a,,4. Verbrauch!L96,4. Verbrauch!M96
4. Verbrauch,97,H,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Haushalte / Zieleinfluss Endanwendungs-Effizienz,100,95,%,1.828,4. Verbrauch!L97,4. Verbrauch!M97
4. Verbrauch,98,,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Haushalte / Zieleinfluss Endanwendungs-Effizienz,48410.76646330204,45990.22814013693,GWh/a,,4. Verbrauch!L98,4. Verbrauch!M98
4. Verbrauch,99,,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Haushalte / Zieleinfluss Endanwendungs-Effizienz,,,,,4. Verbrauch!L99,4. Verbrauch!M99
4. Verbrauch,100,G,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Industrie + Gewerbeant.GHD,91.2835362250325,91.2835362250325,%,1.833,4. Verbrauch!L100,4. Verbrauch!M100
4. Verbrauch,101,,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Industrie + Gewerbeant.GHD,506983.8030905943,506983.8030905943,GWh/a,,4. Verbrauch!L101,4. Verbrauch!M101
4. Verbrauch,102,H,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Industrie + Gewerbeant.GHD / Zieleinfluss Materialdurchsatz/Pers.,100,100,%,1.838,4. Verbrauch!L102,4. Verbrauch!M102
4. Verbrauch,103,,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Industrie + Gewerbeant.GHD / Zieleinfluss Materialdurchsatz/Pers.,506983.8030905943,506983.8030905943,GWh/a,,4. Verbrauch!L103,4. Verbrauch!M103
4. Verbrauch,104,I,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Industrie + Gewerbeant.GHD / Zieleinfluss Materialdurchsatz/Pers. / Zieleinfluss Prozess-Effizienz,100,89,%,1.843,4. Verbrauch!L104,4. Verbrauch!M104
4. Verbrauch,105,,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Industrie + Gewerbeant.GHD / Zieleinfluss Materialdurchsatz/Pers. / Zieleinfluss Prozess-Effizienz,506983.8030905943,451215.5847506289,GWh/a,,4. Verbrauch!L105,4. Verbrauch!M105
4. Verbrauch,106,,Prozesswärme (PW) / Bedarfsniveau (statisch) / davon Industrie + Gewerbeant.GHD / Zieleinfluss Materialdurchsatz/Pers. / Zieleinfluss Prozess-Effizienz,,,,,4. Verbrauch!L106,4. Verbrauch!M106
4. Verbrauch,107,F,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.)",555394.5695538963,497205.81289076584,GWh/a,,4. Verbrauch!L107,4. Verbrauch!M107
4. Verbrauch,108,G,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.) / davon Brennstoffe",60.30563386143566,26.69863520298334,% v. [107],1.852,4. Verbrauch!L108,4. Verbrauch!M108
4. Verbrauch,109,H,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.) / davon Brennstoffe / Endenergieverbrauch",334934.21560146933,132747.16619173347,GWh/a,,4. Verbrauch!L109,4. Verbrauch!M109
4. Verbrauch,110,G,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.) / > / Nutzungsgrad Endanwendung",86,88,%,1.857,4. Verbrauch!L110,4. Verbrauch!M110
4. Verbrauch,111,H,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.) / > / > / Wandlungsverluste Endanwendung",8.442788740600992,3.2038362243580005,% v. [107],,4. Verbrauch!L111,4. Verbrauch!M111
4. Verbrauch,112,I,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.) / > / > / Einsparung gegenüber Status (relativ)",0,5.238952516242992,% v. [107],,4. Verbrauch!L112,4. Verbrauch!M112
4. Verbrauch,113,I,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.) / > / > / (absolut)",0,6954.5610034430865,GWh/a,,4. Verbrauch!L113,4. Verbrauch!M113
4. Verbrauch,114,,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.) / > / > / (absolut)",,,,,4. Verbrauch!L114,4. Verbrauch!M114
4. Verbrauch,115,G,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.) / davon Wärme (>100°C,verlustarm nutzbar)",25.85036844644735,0,% v. [107],1.862,4. Verbrauch!L115,4. Verbrauch!M115
4. Verbrauch,116,H,"Prozesswärme (PW) / Bedarfsniveau (Prod.-Vol., Proz.-Effiz.) / davon Wärme (>100°C,verlustarm nutzbar) / Endenergieverbrauch",143571.5425612425,0,GWh/a,,4. Verbrauch!L116,4. Verbrauch!M116
