sheet,row,row_indent_col,full_name,status,ziel,unit,d_ref,ref_status,ref_ziel
2. Erneuerbare,153,I,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Luft - Antriebsstromaufnahme / davon Wärmgewinn aus der Luft,16080.155423416034,401438.3638071509,GWh/a,,2. Erneuerbare!L153,2. Erneuerbare!M153
2. Erneuerbare,154,,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Luft - Antriebsstromaufnahme / davon Wärmgewinn aus der Luft,,,,,2. Erneuerbare!L154,2. Erneuerbare!M154
2. Erneuerbare,155,H,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / davon Anl.m.Erdreich-/Wasserkoppl.,28.839450481853603,7.7720207253886,%,,2. Erneuerbare!L155,2. Erneuerbare!M155
2. Erneuerbare,156,H,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Erdr.-/Wasser - Antriebsstromaufnahme,2915.091654705762,10571.586125539436,GWh/a,,2. Erneuerbare!L156,2. Erneuerbare!M156
2. Erneuerbare,157,I,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Erdr.-/Wasser - Antriebsstromaufnahme / WP-Erdr.-/Wasser - Jahresarbeitszahl,3.7913259864912905,4.9,,1.540,2. Erneuerbare!L157,2. Erneuerbare!M157
2. Erneuerbare,158,I,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Erdr.-/Wasser - Antriebsstromaufnahme / Nutzwärme (inkl. Antriebsstrom),11052.06274348985,51800.77201514324,GWh/a,,2. Erneuerbare!L158,2. Erneuerbare!M158
2. Erneuerbare,159,I,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Erdr.-/Wasser - Antriebsstromaufnahme / davon Wärmgewinn Erdreich/Grundwasser,8136.971088784088,41229.1858896038,GWh/a,,2. Erneuerbare!L159,2. Erneuerbare!M159
2. Erneuerbare,160,I,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Erdr.-/Wasser - Antriebsstromaufnahme / / / Wärmeertrag Erdreich/Grundwasser,1000,1000,MWh/ha/a,1.546,2. Erneuerbare!L160,2. Erneuerbare!M160
2. Erneuerbare,161,J,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Erdr.-/Wasser - Antriebsstromaufnahme / / / Beanspruchte Entzugsfläche,8136.971088784088,41229.1858896038,ha,,2. Erneuerbare!L161,2. Erneuerbare!M161
2. Erneuerbare,162,I,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Erdr.-/Wasser - Antriebsstromaufnahme / / / Gebäude-&Freifläche (Siedlung),3380079,3645799.0000000005,ha,,2. Erneuerbare!L162,2. Erneuerbare!M162
2. Erneuerbare,163,J,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Erdr.-/Wasser - Antriebsstromaufnahme / / / Anteil beanspruchter Siedlungsfläche,0.24073316300548267,1.130868319663366,%,,2. Erneuerbare!L163,2. Erneuerbare!M163
2. Erneuerbare,164,,Umgebungswärme (Wärmepumpe) / Wärmepumpen-Antriebsstromaufnahme / WP-Erdr.-/Wasser - Antriebsstromaufnahme / / / Anteil beanspruchter Siedlungsfläche,,,,,2. Erneuerbare!L164,2. Erneuerbare!M164
2. Erneuerbare,165,E,Tiefengeothermie,,,,,2. Erneuerbare!L165,2. Erneuerbare!M165
2. Erneuerbare,166,F,Tiefengeothermie / Netzanschlussleistung (elektrisch),57,0,MW,1.553,2. Erneuerbare!L166,2. Erneuerbare!M166
2. Erneuerbare,167,G,Tiefengeothermie / Netzanschlussleistung (elektrisch) / Stromerzeugung - Vollbetriebsstunden,3421.0526315789475,3421.0526315789475,h/a,1.558,2. Erneuerbare!L167,2. Erneuerbare!M167
