model,code,label,origin,rationale
RenewableData,7.1.4.3,davon Wärmgewinn Erdreich/Grundwasser,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.4.3.1,Wärmeertrag Erdreich/Grundwasser,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.4.3.2,Beanspruchte Entzugsfläche,internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.4.3.3,Gebäude- & Freifläche (Siedlung),internal,no D.xlsx 1. parameter row or ancestor matches
RenewableData,7.1.4.3.4,Anteil beanspruchter Siedlungsfläche,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,1,"Kraft, Licht, Information, Kommunikation, Kälte (KLIK)",internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,10,fossil,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.0,Bedarfsniveau (statisch),internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.2,dav.Gewerbe/Handel/Dienstl. + Industr.,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.2.0,=,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.2.9,=,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.3,Bedarfsniveau (Wohnfläche/Wirtschaftl.Entw.),internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.5,davon Warmwasser,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.5.0,=,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.5.2,=,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.7,davon Brennstoffe,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.7.0,= Endenergieverbrauch,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.7.2,> Wandlungsverluste Endanwendung,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.7.4,= Einsparung gegenüber Status (absolut),internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.9,davon Strom (verlustarm nutzb.),internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.9.0,= Endenergieverbrauch,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,2.9.2,=,internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,3.0,Bedarfsniveau (statisch),internal,no D.xlsx 1. parameter row or ancestor matches
VerbrauchData,3.3,"Bedarfsniveau (Prod.-Vol., Proz.-Effiz.)",internal,no D.xlsx 1. parameter row or ancestor matches
