db_code,db_name,db_category,db_subcategory,db_unit,excel_sheet,excel_row,excel_name_expected,excel_cell_status,excel_cell_ziel,oos_reason
8.2,Gebäudewärmebereitstellung (Endenergie),Tiefengeothermie,Geothermie,GWh/a,2. Erneuerbare,178,Gebäudewärmebereitstellung (Endenergie),2. Erneuerbare!L178,2. Erneuerbare!M178,
9,Stromwandlung / Stromspeicherung,Stromwandlung,Stromspeicherung,,2. Erneuerbare,180,Stromwandlung / Stromspeicherung,2. Erneuerbare!L180,2. Erneuerbare!M180,
9.1,Bruttostromerzeugung aus Erneuerbaren Energien gesamt (inkl. Abregelung),Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,15,Bruttostromerzeugung,2. Erneuerbare!L15,2. Erneuerbare!M15,
9.1.1,aus Windenergie,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,182,+ > aus Windenergie,2. Erneuerbare!L182,2. Erneuerbare!M182,
9.1.2,aus Solarenergie (Photovoltaik),Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,183,+ > aus Solarenergie (Photovoltaik),2. Erneuerbare!L183,2. Erneuerbare!M183,
9.1.3,aus Wasserkraft + Tiefengeothermie,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,184,+ > aus Wasserkraft + Tiefengeothermie,2. Erneuerbare!L184,2. Erneuerbare!M184,
9.1.4,aus Biobrennstoffen,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,185,+ > aus Biobrennstoffen,2. Erneuerbare!L185,2. Erneuerbare!M185,
9.2,Bruttostromerzeugung Erneuerbar (inkl. Abregelung),Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,15,Bruttostromerzeugung,2. Erneuerbare!L15,2. Erneuerbare!M15,
9.2.1,"Wasser-Elektrolyse (H₂ für Brennstoff, Kraftstoff- und Grundstoff-Synthese)",Stromwandlung,Stromwandlung,,2. Erneuerbare,188,"Wasser-Elektrolyse (H2 für Brennstoff, Kraftstoff- und Grundstoff-Synthese)",2. Erneuerbare!L188,2. Erneuerbare!M188,
9.2.1.1,Wasserstoff als Brennstoff für PW,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,189,+ Wasserstoff als Brennstoff für PW,2. Erneuerbare!L189,2. Erneuerbare!M189,
9.2.1.1.1,Wasserstoff (komprim.) f. FC-Traktion,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,191,Wasserstoff (komprim.) f.FC-Traktion,2. Erneuerbare!L191,2. Erneuerbare!M191,
9.2.1.1.1.1,Nutzungsgrad tankfähiger Wasserstoff,Stromwandlung,Stromwandlung,%,2. Erneuerbare,192,/ Nutzungsgrad tankfähiger Wasserstoff,2. Erneuerbare!L192,2. Erneuerbare!M192,
9.2.1.1.2,Wasserstoff für MA mit FC-Traktion,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,193,+ Wasserstoff für MA mit FC-Traktion,2. Erneuerbare!L193,2. Erneuerbare!M193,
9.2.1.2,Kraftstoff (gasförm. Methan) für MA aus H₂,Stromwandlung,Stromwandlung,GWh/a,,,,,,NO_SECTION_MATCH: cat='Stromwandlung' sub='Stromwandlung' name='Kraftstoff (gasförm. Methan) für MA aus H₂' (fallback section walk did not find a row)
9.2.1.2.1,Nutzungsgrad Methansynthese,Stromwandlung,Stromwandlung,%,2. Erneuerbare,196,/ Nutzungsgrad Methansynthese,2. Erneuerbare!L196,2. Erneuerbare!M196,
9.2.1.2.2,Wasserstoff für Kraftstoffsynthese,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,197,+ Wasserstoff für Kraftstoffsynthese,2. Erneuerbare!L197,2. Erneuerbare!M197,
9.2.1.3,Kraftstoffe (flüssig) für MA aus H₂,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,199,Kraftstoffe (flüssig)  für MA aus H2,2. Erneuerbare!L199,2. Erneuerbare!M199,
9.2.1.3.1,Nutzungsgrad Kraftstofferzeugung,Stromwandlung,Stromwandlung,%,2. Erneuerbare,119,Nutzungsgrad Kraftstofferzeugung,2. Erneuerbare!L119,2. Erneuerbare!M119,
9.2.1.3.2,Wasserstoff für Kraftstoffsynthese,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,197,+ Wasserstoff für Kraftstoffsynthese,2. Erneuerbare!L197,2. Erneuerbare!M197,
9.2.1.4,Synth. Methan als Grundstoff,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,202,Synth. Methan als Grundstoff,2. Erneuerbare!L202,2. Erneuerbare!M202,
9.2.1.4.1,Nutzungsgrad Methansynthese,Stromwandlung,Stromwandlung,%,2. Erneuerbare,196,/ Nutzungsgrad Methansynthese,2. Erneuerbare!L196,2. Erneuerbare!M196,
9.2.1.4.2,Wasserstoff für Grundstoffsynthese,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,204,+ Wasserstoff für Grundstoffsynthese,2. Erneuerbare!L204,2. Erneuerbare!M204,
9.2.1.5,Wasserstofferzeugung,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,205,Wasserstofferzeugung,2. Erneuerbare!L205,2. Erneuerbare!M205,
9.2.1.5.1,Nutzungsgrad Wasserelektrolyse,Stromwandlung,Stromwandlung,%,2. Erneuerbare,206,/ Nutzungsgrad Wasserelektrolyse,2. Erneuerbare!L206,2. Erneuerbare!M206,
9.2.1.5.2,Stromeinsatz Wasserstofferzeugung,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,205,Wasserstofferzeugung,2. Erneuerbare!L205,2. Erneuerbare!M205,
9.2.1.5.2.1,davon in der Zielregion,Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,208,- davon in der Zielregion,2. Erneuerbare!L208,2. Erneuerbare!M208,
9.2.1.5.2.2,davon extern für Importwasserstoff,Stromwandlung,Stromwandlung,GWh/a,,,,,,NO_SECTION_MATCH: cat='Stromwandlung' sub='Stromwandlung' name='davon extern für Importwasserstoff' (fallback section walk did not find a row)
9.3,Langzeitspeicherung Strom stofflich (saisonaler Ausgleich > 1 Tag),Stromwandlung,Stromspeicherung,,2. Erneuerbare,211,Langzeitspeicherung Strom stofflich (saisonaler Ausgleich > 1 Tag),2. Erneuerbare!L211,2. Erneuerbare!M211,
9.3.1,Stromaufnahme (Überschussphasen),Stromwandlung,Stromwandlung,GWh/a,2. Erneuerbare,212,- Stromaufnahme (Überschussphasen),2. Erneuerbare!L212,2. Erneuerbare!M212,
9.3.1.1,Nutzungsgrad Stromspeicherung,Stromwandlung,Stromspeicherung,%,2. Erneuerbare,213,Nutzungsgrad Stromspeicherung,2. Erneuerbare!L213,2. Erneuerbare!M213,
