excel_sheet,excel_ref,cached_value,formula_text,row,col
5. Bilanz,J27,158210.38229837638,=SUM(J11:J24),27,J
5. Bilanz,M27,626577.392355041,=SUM(M11:M24),27,M
5. Bilanz,P27,489759.04921263416,=SUM(P11:P24),27,P
5. Bilanz,S27,703189.7961235023,=SUM(S11:S24),27,S
5. Bilanz,V27,1977736.619989554,=SUM(J27:S27),27,V
5. Bilanz,W27,[11] … [24] ,"=C11&""… ""&C24",27,W
5. Bilanz,Y27,0,=Y25-Y26,27,Y
5. Bilanz,A28,S.5.28,=AT$1&B28,28,A
5. Bilanz,B28,5.28,=AV$1&D28,28,B
5. Bilanz,C28,[28] ,"=""[""&D28&""] """,28,C
5. Bilanz,D28,28,=ROW(),28,D
5. Bilanz,F28,"Fossil/atomar ist der Teil des verursachten Endenergieverbrauches zu decken,  der nicht aus erneuerbaren Quellen gedeckt ist: ","=""Fossil/atomar ist der Teil des verursachten Endenergieverbrauches zu decken,  der nicht aus erneuerbaren Quellen gedeckt ist: """,28,F
5. Bilanz,BX28,88254.46556022266,='2. Erneuerbare'!L243,28,BX
5. Bilanz,A29,S.5.29,=AT$1&B29,29,A
5. Bilanz,B29,5.29,=AV$1&D29,29,B
5. Bilanz,C29,[29] ,"=""[""&D29&""] """,29,C
5. Bilanz,D29,29,=ROW(),29,D
5. Bilanz,F29,   Fossil/atomar  =  Verbrauch  -  erneuerbar,"=""   Fossil/atomar  =  Verbrauch  -  erneuerbar""",29,F
5. Bilanz,BX29,0,='2. Erneuerbare'!L244,29,BX
5. Bilanz,A30,S.5.30,=AT$1&B30,30,A
5. Bilanz,B30,5.30,=AV$1&D30,30,B
5. Bilanz,C30,[30] ,"=""[""&D30&""] """,30,C
5. Bilanz,D30,30,=ROW(),30,D
5. Bilanz,F30,"Fossile Wärme aufgeteilt gemäß Deutschem Mittel: 99,4 PJ von Fernheizwerken [BS.4.112] zu 275,9 PJ Abwärme von Heizkraftwerken [BS.4.114].","=""Fossile Wärme aufgeteilt gemäß Deutschem Mittel: ""&AA24&"" PJ von Fernheizwerken ""&AB24&"" zu ""&AA23&"" PJ Abwärme von Heizkraftwerken ""&AB23&"".""",30,F
5. Bilanz,BX30,66958.10440544847,=SUM(L22:L23),30,BX
5. Bilanz,CG30,459452.05288486544,=SUM(U10:U24),30,CG
5. Bilanz,CH30,1977736.619989554,=SUM(V11:V24),30,CH
5. Bilanz,A31,S.5.31,=AT$1&B31,31,A
5. Bilanz,B31,5.31,=AV$1&D31,31,B
5. Bilanz,C31,[31] ,"=""[""&D31&""] """,31,C
5. Bilanz,D31,31,=ROW(),31,D
5. Bilanz,BX31,66958.10440544847,='2. Erneuerbare'!L245,31,BX
5. Bilanz,A32,S.5.32,=AT$1&B32,32,A
5. Bilanz,B32,5.32,=AV$1&D32,32,B
5. Bilanz,C32,[32] ,"=""[""&D32&""] """,32,C
5. Bilanz,D32,32,=ROW(),32,D
5. Bilanz,F32,Endenergie: Fossiler Brennstoffmix,,32,F
5. Bilanz,A33,S.5.33,=AT$1&B33,33,A
5. Bilanz,B33,5.33,=AV$1&D33,33,B
5. Bilanz,C33,[33] ,"=""[""&D33&""] """,33,C
5. Bilanz,D33,33,=ROW(),33,D
5. Bilanz,G33,Anteil an jew. Brennstoffsumme in % ,,33,G
5. Bilanz,K33,Gebäudewärme,,33,K
5. Bilanz,N33,Prozesswärme,,33,N
5. Bilanz,Q33,Mobile Anwend.,,33,Q
5. Bilanz,A34,S.5.34,=AT$1&B34,34,A
5. Bilanz,B34,5.34,=AV$1&D34,34,B
5. Bilanz,C34,[34] ,"=""[""&D34&""] """,34,C
5. Bilanz,D34,34,=ROW(),34,D
5. Bilanz,L34,Status,,34,L
5. Bilanz,M34,Ziel,,34,M
5. Bilanz,O34,Status,,34,O
5. Bilanz,P34,Ziel,,34,P
5. Bilanz,R34,Status,,34,R
5. Bilanz,S34,Ziel,,34,S
5. Bilanz,A35,S.5.35,=AT$1&B35,35,A
5. Bilanz,B35,5.35,=AV$1&D35,35,B
5. Bilanz,C35,[35] ,"=""[""&D35&""] """,35,C
5. Bilanz,D35,35,=ROW(),35,D
5. Bilanz,G35,Brennstoffe gasförmig,,35,G
5. Bilanz,L35,63.663818401920054,=M14/(M14+M17+M20)%,35,L
