day,field,our_value,excel_cell,excel_value,drift,verdict
210,solar_promille,3.560349088144516,D366,3.560349088144516,0.0,EXACT
210,heizung_abwaerm_promille,-2.739726027397261,E366,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
210,verbrauch_promille,2.242866117893975,F366,2.242866117893975,0.0,EXACT
211,wind_promille,2.7927925435137744,C367,2.7927925435137744,0.0,EXACT
211,solar_promille,3.987399076655059,D367,3.987399076655059,0.0,EXACT
211,heizung_abwaerm_promille,-2.739726027397261,E367,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
211,verbrauch_promille,2.091417697119515,F367,2.091417697119515,0.0,EXACT
212,wind_promille,3.860983430299014,C368,3.8609834302990134,1.1501971398402766e-16,PASS_COSMETIC
212,solar_promille,2.8874743624609396,D368,2.8874743624609396,0.0,EXACT
212,heizung_abwaerm_promille,-2.739726027397261,E368,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
212,verbrauch_promille,2.6484071457409226,F368,2.6484071457409226,0.0,EXACT
213,wind_promille,3.755646046608968,C369,3.755646046608968,0.0,EXACT
213,solar_promille,3.057873440595998,D369,3.057873440595998,0.0,EXACT
213,heizung_abwaerm_promille,-2.739726027397261,E369,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
213,verbrauch_promille,2.676380804129084,F369,2.676380804129084,0.0,EXACT
214,wind_promille,3.6124333038406578,C370,3.6124333038406578,0.0,EXACT
214,solar_promille,2.5519263570749544,D370,2.5519263570749544,0.0,EXACT
214,heizung_abwaerm_promille,-2.739726027397261,E370,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
214,verbrauch_promille,2.728574411219329,F370,2.728574411219329,0.0,EXACT
215,wind_promille,4.925015915723417,C371,4.925015915723417,0.0,EXACT
215,solar_promille,3.737215809049768,D371,3.7372158090497676,1.1882889095531724e-16,PASS_COSMETIC
215,heizung_abwaerm_promille,-2.739726027397261,E371,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
215,verbrauch_promille,2.717574381292343,F371,2.717574381292343,0.0,EXACT
216,wind_promille,1.4142113410427144,C372,1.4142113410427144,0.0,EXACT
216,solar_promille,3.4221298141354706,D372,3.4221298141354706,0.0,EXACT
216,heizung_abwaerm_promille,-2.739726027397261,E372,-2.7397260273972606,1.620925615952728e-16,PASS_COSMETIC
216,verbrauch_promille,2.59643967890243,F372,2.59643967890243,0.0,EXACT
